p:(0.0833285,0.731996),h:0,n:7,cr:0.340328;
p:(0.110645,0.265631),h:0,n:7,cr:0.323693;
p:(0.342247,0.0517183),h:0,n:7,cr:0.399277;
p:(0.483604,0.854208),h:0,n:7,cr:0.432033;
p:(0.836949,0.0143094),h:0,n:7,cr:0.411896;
p:(0.847702,0.81389),h:0,n:7,cr:0.409316;
p:(0.972089,0.403201),h:0,n:7,cr:0.430254;
p:(0.00694722,0.638279),h:1,n:86,cr:0.0633612;
p:(0.0124684,0.536685),h:1,n:86,cr:0.0629066;
p:(0.0136571,0.959918),h:1,n:86,cr:0.0490727;
p:(0.0144405,0.867193),h:1,n:86,cr:0.0392735;
p:(0.0158688,0.653158),h:1,n:86,cr:0.047736;
p:(0.0171273,0.833109),h:1,n:86,cr:0.0448133;
p:(0.0224505,0.560977),h:1,n:86,cr:0.039167;
p:(0.0224786,0.757556),h:1,n:86,cr:0.0491157;
p:(0.0228192,0.487563),h:1,n:86,cr:0.0353909;
p:(0.0285915,0.415799),h:1,n:86,cr:0.0485489;
p:(0.0313062,0.954417),h:1,n:86,cr:0.0479041;
p:(0.0332397,0.482707),h:1,n:86,cr:0.046747;
p:(0.0346161,0.750957),h:1,n:86,cr:0.0569826;
p:(0.0410785,0.453565),h:1,n:86,cr:0.0456182;
p:(0.0446317,0.774401),h:1,n:86,cr:0.0567632;
p:(0.0459436,0.687144),h:1,n:86,cr:0.0382332;
p:(0.0490922,0.691706),h:1,n:86,cr:0.0544793;
p:(0.049862,0.587616),h:1,n:86,cr:0.0386415;
p:(0.0515743,0.631845),h:1,n:86,cr:0.0376842;
p:(0.0553269,0.907292),h:1,n:86,cr:0.0493199;
p:(0.0556605,0.807518),h:1,n:86,cr:0.0613604;
p:(0.0559655,0.415529),h:1,n:86,cr:0.0346115;
p:(0.0561718,0.98069),h:1,n:86,cr:0.0423888;
p:(0.0665491,0.531619),h:1,n:86,cr:0.0452281;
p:(0.0668727,0.888666),h:1,n:86,cr:0.050345;
p:(0.0748528,0.522842),h:1,n:86,cr:0.0464034;
p:(0.0833285,0.731996),h:1,n:86,cr:0.0404641;
p:(0.0878038,0.969123),h:1,n:86,cr:0.0392987;
p:(0.0899135,0.654888),h:1,n:86,cr:0.0594359;
p:(0.0917833,0.930491),h:1,n:86,cr:0.0553526;
p:(0.09386,0.789329),h:1,n:86,cr:0.041214;
p:(0.0944898,0.458068),h:1,n:86,cr:0.0493283;
p:(0.112246,0.686366),h:1,n:86,cr:0.0398435;
p:(0.120672,0.566643),h:1,n:86,cr:0.0482862;
p:(0.122142,0.462131),h:1,n:86,cr:0.0399406;
p:(0.122284,0.96103),h:1,n:86,cr:0.0684122;
p:(0.122661,0.623056),h:1,n:86,cr:0.0538771;
p:(0.12438,0.845361),h:1,n:86,cr:0.0519858;
p:(0.125495,0.911497),h:1,n:86,cr:0.0623831;
p:(0.13135,0.585864),h:1,n:86,cr:0.0467211;
p:(0.134452,0.44685),h:1,n:86,cr:0.0434466;
p:(0.135327,0.666502),h:1,n:86,cr:0.0385815;
p:(0.135488,0.867064),h:1,n:86,cr:0.0483125;
p:(0.141355,0.819247),h:1,n:86,cr:0.0433974;
p:(0.143974,0.718668),h:1,n:86,cr:0.054311;
p:(0.156997,0.496979),h:1,n:86,cr:0.0440164;
p:(0.161393,0.707356),h:1,n:86,cr:0.0502385;
p:(0.167828,0.947087),h:1,n:86,cr:0.0761539;
p:(0.168808,0.935743),h:1,n:86,cr:0.059781;
p:(0.169215,0.651976),h:1,n:86,cr:0.0545656;
p:(0.169509,0.596056),h:1,n:86,cr:0.0372337;
p:(0.17108,0.442547),h:1,n:86,cr:0.0667993;
p:(0.172513,0.518065),h:1,n:86,cr:0.0543481;
p:(0.175885,0.863788),h:1,n:86,cr:0.0751353;
p:(0.185733,0.536233),h:1,n:86,cr:0.0499087;
p:(0.186533,0.933593),h:1,n:86,cr:0.0540964;
p:(0.190332,0.770443),h:1,n:86,cr:0.0567312;
p:(0.19203,0.57668),h:1,n:86,cr:0.0443207;
p:(0.201938,0.720109),h:1,n:86,cr:0.0489396;
p:(0.205635,0.677259),h:1,n:86,cr:0.0485469;
p:(0.209743,0.616845),h:1,n:86,cr:0.0423209;
p:(0.212166,0.635405),h:1,n:86,cr:0.0618216;
p:(0.212692,0.956794),h:1,n:86,cr:0.0546927;
p:(0.214507,0.778508),h:1,n:86,cr:0.0523587;
p:(0.214703,0.801461),h:1,n:86,cr:0.0537986;
p:(0.221181,0.878131),h:1,n:86,cr:0.0706704;
p:(0.226792,0.459883),h:1,n:86,cr:0.0440896;
p:(0.234818,0.532349),h:1,n:86,cr:0.0595853;
p:(0.236994,0.828596),h:1,n:86,cr:0.0624742;
p:(0.238443,0.450138),h:1,n:86,cr:0.0366124;
p:(0.249453,0.616149),h:1,n:86,cr:0.0552367;
p:(0.253146,0.680549),h:1,n:86,cr:0.0503498;
p:(0.256173,0.62694),h:1,n:86,cr:0.0453802;
p:(0.258522,0.832014),h:1,n:86,cr:0.0411025;
p:(0.258953,0.747111),h:1,n:86,cr:0.0518411;
p:(0.266613,0.715992),h:1,n:86,cr:0.0438331;
p:(0.268421,0.569168),h:1,n:86,cr:0.0470599;
p:(0.275928,0.589934),h:1,n:86,cr:0.0653577;
p:(0.288314,0.474042),h:1,n:86,cr:0.0447021;
p:(0.290759,0.70021),h:1,n:86,cr:0.0522361;
p:(0.300522,0.508134),h:1,n:86,cr:0.0609263;
p:(0.313034,0.585768),h:1,n:86,cr:0.058211;
p:(0.333132,0.573268),h:1,n:86,cr:0.0646361;
p:(0.336843,0.504942),h:1,n:86,cr:0.0498235;
p:(0.338686,0.602119),h:1,n:86,cr:0.0452361;
p:(0.340158,0.597784),h:1,n:86,cr:0.0633621;
p:(0.00638646,0.0332836),h:1,n:59,cr:0.0536116;
p:(0.007609,0.0994125),h:1,n:59,cr:0.056281;
p:(0.00796407,0.176454),h:1,n:59,cr:0.049362;
p:(0.0128404,0.11926),h:1,n:59,cr:0.0896725;
p:(0.0212955,0.369304),h:1,n:59,cr:0.0405502;
p:(0.0219339,0.250343),h:1,n:59,cr:0.0419051;
p:(0.022882,0.355674),h:1,n:59,cr:0.0641967;
p:(0.0269534,0.152882),h:1,n:59,cr:0.0384785;
p:(0.0298769,0.277863),h:1,n:59,cr:0.0436255;
p:(0.0303831,0.0597503),h:1,n:59,cr:0.0434005;
p:(0.0306275,0.298045),h:1,n:59,cr:0.0385007;
p:(0.036923,0.217283),h:1,n:59,cr:0.0551109;
p:(0.0471405,0.171317),h:1,n:59,cr:0.0470646;
p:(0.0478691,0.260831),h:1,n:59,cr:0.0343437;
p:(0.0642191,0.34747),h:1,n:59,cr:0.0708856;
p:(0.0691839,0.02636),h:1,n:59,cr:0.0632242;
p:(0.0698506,0.161421),h:1,n:59,cr:0.0386321;
p:(0.0817515,0.335627),h:1,n:59,cr:0.0578157;
p:(0.0910778,0.302431),h:1,n:59,cr:0.0568441;
p:(0.107029,0.178659),h:1,n:59,cr:0.0429525;
p:(0.107479,0.0390982),h:1,n:59,cr:0.0726248;
p:(0.107921,0.266155),h:1,n:59,cr:0.0383505;
p:(0.110645,0.265631),h:1,n:59,cr:0.0605586;
p:(0.111507,0.413989),h:1,n:59,cr:0.0484021;
p:(0.112296,0.0806846),h:1,n:59,cr:0.0710675;
p:(0.119552,0.0981037),h:1,n:59,cr:0.0528891;
p:(0.130549,0.135493),h:1,n:59,cr:0.0509534;
p:(0.132607,0.221292),h:1,n:59,cr:0.0370816;
p:(0.136862,0.198597),h:1,n:59,cr:0.0418601;
p:(0.14547,0.358091),h:1,n:59,cr:0.0762789;
p:(0.145952,0.375967),h:1,n:59,cr:0.0547035;
p:(0.157564,0.15187),h:1,n:59,cr:0.050788;
p:(0.166986,0.189578),h:1,n:59,cr:0.0582298;
p:(0.176098,0.16786),h:1,n:59,cr:0.0717576;
p:(0.195304,0.318084),h:1,n:59,cr:0.0570996;
p:(0.200225,0.39732),h:1,n:59,cr:0.0402074;
p:(0.206282,0.29563),h:1,n:59,cr:0.0620547;
p:(0.207272,0.349466),h:1,n:59,cr:0.0722407;
p:(0.217136,0.282508),h:1,n:59,cr:0.0744596;
p:(0.220023,0.408234),h:1,n:59,cr:0.0445719;
p:(0.223452,0.365471),h:1,n:59,cr:0.0491358;
p:(0.232524,0.29552),h:1,n:59,cr:0.042489;
p:(0.23635,0.229579),h:1,n:59,cr:0.0663852;
p:(0.245956,0.220008),h:1,n:59,cr:0.0528723;
p:(0.253401,0.393089),h:1,n:59,cr:0.0600934;
p:(0.275188,0.277332),h:1,n:59,cr:0.0541265;
p:(0.27851,0.296951),h:1,n:59,cr:0.0293195;
p:(0.285127,0.426118),h:1,n:59,cr:0.0342587;
p:(0.310227,0.321943),h:1,n:59,cr:0.03046;
p:(0.312659,0.367113),h:1,n:59,cr:0.0483954;
p:(0.313452,0.408567),h:1,n:59,cr:0.0542507;
p:(0.323905,0.302437),h:1,n:59,cr:0.0435958;
p:(0.331986,0.430239),h:1,n:59,cr:0.0513894;
p:(0.343456,0.40255),h:1,n:59,cr:0.0427166;
p:(0.349095,0.334397),h:1,n:59,cr:0.0320443;
p:(0.359823,0.385078),h:1,n:59,cr:0.0324108;
p:(0.381816,0.390712),h:1,n:59,cr:0.0405943;
p:(0.384877,0.40233),h:1,n:59,cr:0.0735205;
p:(0.403524,0.403467),h:1,n:59,cr:0.0777155;
p:(0.124735,0.0136854),h:1,n:56,cr:0.0554696;
p:(0.18129,0.0179353),h:1,n:56,cr:0.0433384;
p:(0.19497,0.0624498),h:1,n:56,cr:0.051611;
p:(0.213274,0.113721),h:1,n:56,cr:0.0468982;
p:(0.226631,0.142703),h:1,n:56,cr:0.0454339;
p:(0.240144,0.0676941),h:1,n:56,cr:0.0579353;
p:(0.245235,0.0562085),h:1,n:56,cr:0.060554;
p:(0.252098,0.15933),h:1,n:56,cr:0.0866817;
p:(0.263064,0.194431),h:1,n:56,cr:0.0377869;
p:(0.264889,0.100564),h:1,n:56,cr:0.0572491;
p:(0.27132,0.0306532),h:1,n:56,cr:0.0528568;
