Method;Query;n;Disk Accesses;Query Time;Construction Time
CP;0;16;14;83000;142852000
CP;1;16;15;39000;142852000
CP;2;16;14;27000;142852000
CP;3;16;12;29000;142852000
CP;4;16;9;19000;142852000
CP;5;16;11;22000;142852000
CP;6;16;7;13000;142852000
CP;7;16;9;16000;142852000
CP;8;16;7;13000;142852000
CP;9;16;12;24000;142852000
CP;10;16;13;25000;142852000
CP;11;16;13;22000;142852000
CP;12;16;13;23000;142852000
CP;13;16;9;22000;142852000
CP;14;16;13;24000;142852000
CP;15;16;13;24000;142852000
CP;16;16;8;16000;142852000
CP;17;16;13;23000;142852000
CP;18;16;10;19000;142852000
CP;19;16;15;29000;142852000
CP;20;16;16;29000;142852000
CP;21;16;11;22000;142852000
CP;22;16;14;27000;142852000
CP;23;16;13;26000;142852000
CP;24;16;13;22000;142852000
CP;25;16;10;24000;142852000
CP;26;16;14;25000;142852000
CP;27;16;12;25000;142852000
CP;28;16;15;29000;142852000
CP;29;16;12;20000;142852000
CP;30;16;16;27000;142852000
CP;31;16;12;23000;142852000
CP;32;16;15;27000;142852000
CP;33;16;13;26000;142852000
CP;34;16;10;20000;142852000
CP;35;16;16;28000;142852000
CP;36;16;9;18000;142852000
CP;37;16;16;29000;142852000
CP;38;16;12;24000;142852000
CP;39;16;14;26000;142852000
CP;40;16;10;19000;142852000
CP;41;16;13;27000;142852000
CP;42;16;16;29000;142852000
CP;43;16;13;24000;142852000
CP;44;16;13;24000;142852000
CP;45;16;11;24000;142852000
CP;46;16;13;25000;142852000
CP;47;16;12;23000;142852000
CP;48;16;14;26000;142852000
CP;49;16;15;27000;142852000
CP;50;16;14;28000;142852000
CP;51;16;17;32000;142852000
CP;52;16;14;28000;142852000
CP;53;16;17;29000;142852000
CP;54;16;15;28000;142852000
CP;55;16;14;25000;142852000
CP;56;16;15;25000;142852000
CP;57;16;14;28000;142852000
CP;58;16;12;24000;142852000
CP;59;16;15;27000;142852000
CP;60;16;15;29000;142852000
CP;61;16;10;19000;142852000
CP;62;16;7;13000;142852000
CP;63;16;16;35000;142852000
CP;64;16;13;27000;142852000
CP;65;16;12;23000;142852000
CP;66;16;16;30000;142852000
CP;67;16;17;32000;142852000
CP;68;16;14;25000;142852000
CP;69;16;11;20000;142852000
CP;70;16;15;30000;142852000
CP;71;16;18;32000;142852000
CP;72;16;7;15000;142852000
CP;73;16;9;17000;142852000
CP;74;16;11;21000;142852000
CP;75;16;14;26000;142852000
CP;76;16;11;19000;142852000
CP;77;16;13;24000;142852000
CP;78;16;15;28000;142852000
CP;79;16;14;27000;142852000
CP;80;16;10;17000;142852000
CP;81;16;13;24000;142852000
CP;82;16;14;26000;142852000
CP;83;16;12;27000;142852000
CP;84;16;13;25000;142852000
CP;85;16;12;24000;142852000
CP;86;16;13;24000;142852000
CP;87;16;10;18000;142852000
CP;88;16;13;26000;142852000
CP;89;16;15;28000;142852000
