Method;Query;n;Disk Accesses;Query Time;Construction Time
SS;69;10;2;2000;1050088000
SS;70;10;2;3000;1050088000
SS;71;10;4;5000;1050088000
SS;72;10;2;2000;1050088000
SS;73;10;3;5000;1050088000
SS;74;10;3;5000;1050088000
SS;75;10;5;7000;1050088000
SS;76;10;3;7000;1050088000
SS;77;10;3;4000;1050088000
SS;78;10;3;4000;1050088000
SS;79;10;3;4000;1050088000
SS;80;10;2;3000;1050088000
SS;81;10;2;3000;1050088000
SS;82;10;3;4000;1050088000
SS;83;10;4;6000;1050088000
SS;84;10;3;4000;1050088000
SS;85;10;2;2000;1050088000
SS;86;10;3;5000;1050088000
SS;87;10;3;4000;1050088000
SS;88;10;2;2000;1050088000
SS;89;10;4;6000;1050088000
SS;90;10;4;5000;1050088000
SS;91;10;4;6000;1050088000
SS;92;10;3;4000;1050088000
SS;93;10;3;4000;1050088000
SS;94;10;2;1000;1050088000
SS;95;10;3;5000;1050088000
SS;96;10;2;3000;1050088000
SS;97;10;3;4000;1050088000
SS;98;10;2;3000;1050088000
SS;99;10;2;2000;1050088000
CP;0;11;4;8000;2130000
CP;1;11;6;9000;2130000
CP;2;11;4;7000;2130000
CP;3;11;7;10000;2130000
CP;4;11;4;11000;2130000
CP;5;11;3;4000;2130000
CP;6;11;2;2000;2130000
CP;7;11;3;4000;2130000
CP;8;11;2;3000;2130000
CP;9;11;4;5000;2130000
CP;10;11;3;5000;2130000
CP;11;11;3;4000;2130000
CP;12;11;4;5000;2130000
CP;13;11;2;4000;2130000
CP;14;11;3;5000;2130000
CP;15;11;5;8000;2130000
CP;16;11;2;3000;2130000
CP;17;11;4;6000;2130000
CP;18;11;2;2000;2130000
CP;19;11;2;3000;2130000
CP;20;11;3;5000;2130000
CP;21;11;6;10000;2130000
CP;22;11;4;6000;2130000
CP;23;11;6;9000;2130000
CP;24;11;2;4000;2130000
CP;25;11;4;6000;2130000
CP;26;11;2;3000;2130000
CP;27;11;6;9000;2130000
CP;28;11;3;3000;2130000
CP;29;11;4;5000;2130000
CP;30;11;5;9000;2130000
CP;31;11;4;6000;2130000
CP;32;11;4;6000;2130000
CP;33;11;5;7000;2130000
CP;34;11;3;5000;2130000
CP;35;11;5;7000;2130000
CP;36;11;3;4000;2130000
CP;37;11;5;6000;2130000
CP;38;11;5;8000;2130000
CP;39;11;4;5000;2130000
CP;40;11;4;5000;2130000
CP;41;11;4;6000;2130000
CP;42;11;4;5000;2130000
CP;43;11;4;6000;2130000
CP;44;11;4;6000;2130000
CP;45;11;4;5000;2130000
CP;46;11;3;5000;2130000
CP;47;11;3;5000;2130000
CP;48;11;2;3000;2130000
CP;49;11;5;8000;2130000
CP;50;11;4;6000;2130000
CP;51;11;4;5000;2130000
CP;52;11;4;6000;2130000
CP;53;11;4;7000;2130000
CP;54;11;2;2000;2130000
CP;55;11;4;6000;2130000
CP;56;11;4;7000;2130000
CP;57;11;3;5000;2130000
CP;58;11;7;10000;2130000
CP;59;11;4;6000;2130000
CP;60;11;5;7000;2130000
CP;61;11;3;4000;2130000
CP;62;11;3;4000;2130000
CP;63;11;6;9000;2130000
CP;64;11;5;8000;2130000
CP;65;11;4;6000;2130000
CP;66;11;6;9000;2130000
CP;67;11;6;9000;2130000
CP;68;11;4;6000;2130000
CP;69;11;5;8000;2130000
CP;70;11;2;3000;2130000
CP;71;11;2;3000;2130000
CP;72;11;3;4000;2130000
CP;73;11;2;3000;2130000
CP;74;11;3;5000;2130000
CP;75;11;5;6000;2130000
CP;76;11;4;5000;2130000
CP;77;11;3;4000;2130000
CP;78;11;4;6000;2130000
CP;79;11;4;6000;2130000
CP;80;11;2;3000;2130000
CP;81;11;4;6000;2130000
CP;82;11;3;5000;2130000
CP;83;11;4;6000;2130000
CP;84;11;4;5000;2130000
CP;85;11;3;5000;2130000
CP;86;11;3;4000;2130000
CP;87;11;3;4000;2130000
CP;88;11;4;5000;2130000
CP;89;11;6;8000;2130000
CP;90;11;3;5000;2130000
CP;91;11;4;5000;2130000
CP;92;11;5;8000;2130000
CP;93;11;2;3000;2130000
CP;94;11;3;4000;2130000
CP;95;11;2;3000;2130000
CP;96;11;4;6000;2130000
CP;97;11;2;3000;2130000
CP;98;11;5;6000;2130000
CP;99;11;3;5000;2130000
SS;0;11;3;10000;4283137000
SS;1;11;3;10000;4283137000
SS;2;11;2;3000;4283137000
SS;3;11;4;10000;4283137000
SS;4;11;3;5000;4283137000
SS;5;11;3;5000;4283137000
SS;6;11;2;3000;4283137000
SS;7;11;2;3000;4283137000
SS;8;11;2;2000;4283137000
SS;9;11;3;4000;4283137000
SS;10;11;2;3000;4283137000
SS;11;11;2;2000;4283137000
SS;12;11;3;4000;4283137000
SS;13;11;2;3000;4283137000
SS;14;11;2;4000;4283137000
SS;15;11;3;10000;4283137000
SS;16;11;2;3000;4283137000
SS;17;11;5;8000;4283137000
SS;18;11;2;3000;4283137000
SS;19;11;3;5000;4283137000
SS;20;11;4;6000;4283137000
SS;21;11;3;4000;4283137000
SS;22;11;3;4000;4283137000
SS;23;11;4;12000;4283137000
SS;24;11;2;3000;4283137000
SS;25;11;3;6000;4283137000
SS;26;11;2;4000;4283137000
SS;27;11;2;3000;4283137000
SS;28;11;5;8000;4283137000
SS;29;11;3;7000;4283137000
SS;30;11;3;5000;4283137000
SS;31;11;2;3000;4283137000
SS;32;11;4;7000;4283137000
SS;33;11;4;7000;4283137000
SS;34;11;3;5000;4283137000
SS;35;11;4;6000;4283137000
SS;36;11;2;3000;4283137000
SS;37;11;4;6000;4283137000
SS;38;11;3;4000;4283137000
SS;39;11;3;3000;4283137000
SS;40;11;3;4000;4283137000
SS;41;11;3;4000;4283137000
SS;42;11;3;4000;4283137000
SS;43;11;4;6000;4283137000
SS;44;11;5;7000;4283137000
SS;45;11;3;5000;4283137000
SS;46;11;2;3000;4283137000
SS;47;11;3;5000;4283137000
SS;48;11;3;4000;4283137000
SS;49;11;3;5000;4283137000
SS;50;11;4;5000;4283137000
SS;51;11;4;6000;4283137000
SS;52;11;3;5000;4283137000
SS;53;11;4;7000;4283137000
SS;54;11;3;3000;4283137000
SS;55;11;3;4000;4283137000
SS;56;11;4;6000;4283137000
SS;57;11;3;4000;4283137000
SS;58;11;3;4000;4283137000
SS;59;11;4;5000;4283137000
SS;60;11;3;4000;4283137000
SS;61;11;3;4000;4283137000
SS;62;11;2;3000;4283137000
SS;63;11;4;7000;4283137000
SS;64;11;4;5000;4283137000
SS;65;11;3;5000;4283137000
SS;66;11;3;5000;4283137000
SS;67;11;3;5000;4283137000
SS;68;11;3;4000;4283137000
SS;69;11;3;4000;4283137000
SS;70;11;3;4000;4283137000
SS;71;11;3;4000;4283137000
SS;72;11;2;3000;4283137000
SS;73;11;3;4000;4283137000
SS;74;11;3;5000;4283137000
SS;75;11;3;4000;4283137000
SS;76;11;4;8000;4283137000
SS;77;11;3;10000;4283137000
SS;78;11;3;5000;4283137000
SS;79;11;3;5000;4283137000
SS;80;11;3;4000;4283137000
SS;81;11;3;5000;4283137000
SS;82;11;4;6000;4283137000
SS;83;11;4;7000;4283137000
SS;84;11;4;5000;4283137000
SS;85;11;3;4000;4283137000
SS;86;11;3;4000;4283137000
SS;87;11;2;3000;4283137000
SS;88;11;3;4000;4283137000
SS;89;11;3;5000;4283137000
SS;90;11;3;4000;4283137000
SS;91;11;4;6000;4283137000
SS;92;11;4;7000;4283137000
SS;93;11;3;4000;4283137000
SS;94;11;2;2000;4283137000
SS;95;11;3;5000;4283137000
SS;96;11;4;5000;4283137000
SS;97;11;4;6000;4283137000
SS;98;11;3;4000;4283137000
SS;99;11;3;5000;4283137000
CP;0;12;6;16000;4296000
CP;1;12;3;17000;4296000
CP;2;12;5;18000;4296000
CP;3;12;5;9000;4296000
CP;4;12;5;8000;4296000
CP;5;12;5;12000;4296000
CP;6;12;2;3000;4296000
CP;7;12;5;9000;4296000
CP;8;12;3;8000;4296000
CP;9;12;3;6000;4296000
CP;10;12;4;7000;4296000
CP;11;12;6;13000;4296000
CP;12;12;6;14000;4296000
CP;13;12;4;6000;4296000
CP;14;12;6;27000;4296000
CP;15;12;3;5000;4296000
CP;16;12;3;5000;4296000
CP;17;12;5;9000;4296000
CP;18;12;4;7000;4296000
CP;19;12;6;11000;4296000
CP;20;12;6;11000;4296000
CP;21;12;5;9000;4296000
CP;22;12;7;10000;4296000
CP;23;12;4;8000;4296000
CP;24;12;4;6000;4296000
CP;25;12;7;11000;4296000
CP;26;12;4;6000;4296000
CP;27;12;6;10000;4296000
CP;28;12;4;7000;4296000
CP;29;12;5;9000;4296000
CP;30;12;4;8000;4296000
CP;31;12;5;9000;4296000
CP;32;12;4;7000;4296000
CP;33;12;5;11000;4296000
CP;34;12;4;7000;4296000
CP;35;12;4;7000;4296000
CP;36;12;4;7000;4296000
CP;37;12;6;11000;4296000
CP;38;12;7;11000;4296000
CP;39;12;6;10000;4296000
CP;40;12;7;11000;4296000
