Method;Query;n;Disk Accesses;Query Time;Construction Time
SS;59;16;10;19000;2065228820000
SS;60;16;10;18000;2065228820000
SS;61;16;11;22000;2065228820000
SS;62;16;5;8000;2065228820000
SS;63;16;9;17000;2065228820000
SS;64;16;12;20000;2065228820000
SS;65;16;13;28000;2065228820000
SS;66;16;13;24000;2065228820000
SS;67;16;9;17000;2065228820000
SS;68;16;14;23000;2065228820000
SS;69;16;8;14000;2065228820000
SS;70;16;13;27000;2065228820000
SS;71;16;9;18000;2065228820000
SS;72;16;6;11000;2065228820000
SS;73;16;9;16000;2065228820000
SS;74;16;9;16000;2065228820000
SS;75;16;13;22000;2065228820000
SS;76;16;13;22000;2065228820000
SS;77;16;15;25000;2065228820000
SS;78;16;10;18000;2065228820000
SS;79;16;15;30000;2065228820000
SS;80;16;8;14000;2065228820000
SS;81;16;11;19000;2065228820000
SS;82;16;10;18000;2065228820000
SS;83;16;13;23000;2065228820000
SS;84;16;10;18000;2065228820000
SS;85;16;12;22000;2065228820000
SS;86;16;10;18000;2065228820000
SS;87;16;10;20000;2065228820000
SS;88;16;12;23000;2065228820000
SS;89;16;12;25000;2065228820000
SS;90;16;11;20000;2065228820000
SS;91;16;11;20000;2065228820000
SS;92;16;10;20000;2065228820000
SS;93;16;8;16000;2065228820000
SS;94;16;8;14000;2065228820000
SS;95;16;11;18000;2065228820000
SS;96;16;8;15000;2065228820000
SS;97;16;12;25000;2065228820000
SS;98;16;10;18000;2065228820000
SS;99;16;12;22000;2065228820000
SS;0;17;16;42000;8598786545000
SS;1;17;13;33000;8598786545000
SS;2;17;14;41000;8598786545000
SS;3;17;19;47000;8598786545000
SS;4;17;13;25000;8598786545000
SS;5;17;14;28000;8598786545000
SS;6;17;7;15000;8598786545000
SS;7;17;12;23000;8598786545000
SS;8;17;11;24000;8598786545000
SS;9;17;12;24000;8598786545000
SS;10;17;11;23000;8598786545000
SS;11;17;13;26000;8598786545000
SS;12;17;14;27000;8598786545000
SS;13;17;11;22000;8598786545000
SS;14;17;15;28000;8598786545000
SS;15;17;17;34000;8598786545000
SS;16;17;8;17000;8598786545000
SS;17;17;13;26000;8598786545000
SS;18;17;10;20000;8598786545000
SS;19;17;16;31000;8598786545000
SS;20;17;17;35000;8598786545000
SS;21;17;18;32000;8598786545000
SS;22;17;15;30000;8598786545000
SS;23;17;15;29000;8598786545000
SS;24;17;13;26000;8598786545000
SS;25;17;14;24000;8598786545000
SS;26;17;16;29000;8598786545000
SS;27;17;18;38000;8598786545000
SS;28;17;15;27000;8598786545000
SS;29;17;13;27000;8598786545000
SS;30;17;16;31000;8598786545000
SS;31;17;16;29000;8598786545000
SS;32;17;20;50000;8598786545000
SS;33;17;16;36000;8598786545000
SS;34;17;11;20000;8598786545000
SS;35;17;14;29000;8598786545000
SS;36;17;10;19000;8598786545000
SS;37;17;17;36000;8598786545000
SS;38;17;14;25000;8598786545000
SS;39;17;13;23000;8598786545000
SS;40;17;14;23000;8598786545000
SS;41;17;15;29000;8598786545000
SS;42;17;16;34000;8598786545000
SS;43;17;20;48000;8598786545000
SS;44;17;16;29000;8598786545000
SS;45;17;13;25000;8598786545000
SS;46;17;17;37000;8598786545000
SS;47;17;15;30000;8598786545000
SS;48;17;14;36000;8598786545000
SS;49;17;16;29000;8598786545000
SS;50;17;15;28000;8598786545000
SS;51;17;13;24000;8598786545000
SS;52;17;10;19000;8598786545000
SS;53;17;18;43000;8598786545000
SS;54;17;17;32000;8598786545000
SS;55;17;17;31000;8598786545000
SS;56;17;17;39000;8598786545000
SS;57;17;15;27000;8598786545000
SS;58;17;19;35000;8598786545000
SS;59;17;18;34000;8598786545000
SS;60;17;14;25000;8598786545000
