Method;Query;n;Disk Accesses;Query Time;Construction Time
CP;73;21;58;123000;18220101000
CP;74;21;77;163000;18220101000
CP;75;21;74;157000;18220101000
CP;76;21;76;167000;18220101000
CP;77;21;74;161000;18220101000
CP;78;21;83;170000;18220101000
CP;79;21;73;154000;18220101000
CP;80;21;64;137000;18220101000
CP;81;21;78;168000;18220101000
CP;82;21;80;172000;18220101000
CP;83;21;81;171000;18220101000
CP;84;21;79;173000;18220101000
CP;85;21;79;171000;18220101000
CP;86;21;77;168000;18220101000
CP;87;21;79;163000;18220101000
CP;88;21;80;165000;18220101000
CP;89;21;77;165000;18220101000
CP;90;21;80;169000;18220101000
CP;91;21;81;172000;18220101000
CP;92;21;84;181000;18220101000
CP;93;21;70;144000;18220101000
CP;94;21;50;112000;18220101000
CP;95;21;80;163000;18220101000
CP;96;21;78;167000;18220101000
CP;97;21;82;170000;18220101000
CP;98;21;81;175000;18220101000
CP;99;21;70;158000;18220101000
CP;0;22;132;318000;12787001000
CP;1;22;124;288000;12787001000
CP;2;22;131;292000;12787001000
CP;3;22;135;283000;12787001000
CP;4;22;129;272000;12787001000
CP;5;22;131;266000;12787001000
CP;6;22;75;148000;12787001000
CP;7;22;90;187000;12787001000
CP;8;22;86;180000;12787001000
CP;9;22;119;250000;12787001000
CP;10;22;127;265000;12787001000
CP;11;22;127;253000;12787001000
CP;12;22;118;256000;12787001000
CP;13;22;115;231000;12787001000
CP;14;22;132;274000;12787001000
CP;15;22;95;197000;12787001000
CP;16;22;107;227000;12787001000
CP;17;22;130;269000;12787001000
CP;18;22;108;235000;12787001000
CP;19;22;130;279000;12787001000
CP;20;22;135;285000;12787001000
CP;21;22;138;285000;12787001000
CP;22;22;132;275000;12787001000
CP;23;22;131;278000;12787001000
CP;24;22;130;268000;12787001000
CP;25;22;124;259000;12787001000
CP;26;22;129;266000;12787001000
CP;27;22;128;268000;12787001000
CP;28;22;130;272000;12787001000
CP;29;22;129;258000;12787001000
CP;30;22;129;270000;12787001000
CP;31;22;122;263000;12787001000
CP;32;22;131;272000;12787001000
CP;33;22;122;265000;12787001000
CP;34;22;110;243000;12787001000
CP;35;22;128;269000;12787001000
CP;36;22;103;224000;12787001000
CP;37;22;130;269000;12787001000
CP;38;22;130;265000;12787001000
CP;39;22;130;271000;12787001000
CP;40;22;129;266000;12787001000
CP;41;22;128;272000;12787001000
CP;42;22;127;266000;12787001000
CP;43;22;120;249000;12787001000
CP;44;22;132;278000;12787001000
CP;45;22;126;264000;12787001000
CP;46;22;129;264000;12787001000
CP;47;22;133;278000;12787001000
CP;48;22;120;256000;12787001000
CP;49;22;125;262000;12787001000
CP;50;22;130;266000;12787001000
CP;51;22;123;270000;12787001000
CP;52;22;129;263000;12787001000
CP;53;22;128;275000;12787001000
CP;54;22;134;278000;12787001000
CP;55;22;105;220000;12787001000
CP;56;22;130;260000;12787001000
CP;57;22;125;264000;12787001000
CP;58;22;126;269000;12787001000
CP;59;22;130;266000;12787001000
CP;60;22;129;270000;12787001000
CP;61;22;121;250000;12787001000
CP;62;22;72;147000;12787001000
CP;63;22;128;270000;12787001000
CP;64;22;129;280000;12787001000
CP;65;22;126;262000;12787001000
CP;66;22;134;278000;12787001000
CP;67;22;122;257000;12787001000
CP;68;22;124;260000;12787001000
CP;69;22;126;262000;12787001000
CP;70;22;132;279000;12787001000
CP;71;22;136;284000;12787001000
CP;72;22;71;151000;12787001000
CP;73;22;124;250000;12787001000
CP;74;22;124;258000;12787001000
CP;75;22;121;256000;12787001000
CP;76;22;131;274000;12787001000
CP;77;22;125;261000;12787001000
CP;78;22;126;262000;12787001000
CP;79;22;128;261000;12787001000
CP;80;22;113;232000;12787001000
CP;81;22;134;269000;12787001000
CP;82;22;129;271000;12787001000
CP;83;22;126;261000;12787001000
CP;84;22;127;270000;12787001000
CP;85;22;133;274000;12787001000
CP;86;22;131;274000;12787001000
CP;87;22;135;272000;12787001000
CP;88;22;123;265000;12787001000
CP;89;22;135;278000;12787001000
CP;90;22;125;257000;12787001000
CP;91;22;123;253000;12787001000
CP;92;22;129;273000;12787001000
CP;93;22;118;238000;12787001000
CP;94;22;78;167000;12787001000
CP;95;22;131;262000;12787001000
CP;96;22;132;270000;12787001000
CP;97;22;130;268000;12787001000
CP;98;22;121;259000;12787001000
CP;99;22;120;253000;12787001000
CP;0;23;168;463000;27483163000
CP;1;23;208;466000;27483163000
CP;2;23;226;480000;27483163000
CP;3;23;219;474000;27483163000
CP;4;23;229;481000;27483163000
CP;5;23;220;464000;27483163000
CP;6;23;116;248000;27483163000
CP;7;23;159;319000;27483163000
CP;8;23;163;325000;27483163000
CP;9;23;193;418000;27483163000
CP;10;23;231;479000;27483163000
CP;11;23;222;473000;27483163000
CP;12;23;224;464000;27483163000
CP;13;23;211;434000;27483163000
CP;14;23;213;463000;27483163000
CP;15;23;214;467000;27483163000
CP;16;23;191;403000;27483163000
CP;17;23;224;464000;27483163000
CP;18;23;198;416000;27483163000
CP;19;23;232;479000;27483163000
CP;20;23;215;460000;27483163000
CP;21;23;217;461000;27483163000
CP;22;23;231;473000;27483163000
CP;23;23;228;475000;27483163000
CP;24;23;215;460000;27483163000
CP;25;23;227;506000;27483163000
CP;26;23;222;458000;27483163000
CP;27;23;204;431000;27483163000
CP;28;23;216;463000;27483163000
CP;29;23;223;462000;27483163000
CP;30;23;220;454000;27483163000
CP;31;23;218;457000;27483163000
CP;32;23;222;467000;27483163000
CP;33;23;222;470000;27483163000
CP;34;23;158;311000;27483163000
CP;35;23;221;472000;27483163000
CP;36;23;184;391000;27483163000
CP;37;23;218;460000;27483163000
CP;38;23;230;473000;27483163000
CP;39;23;236;483000;27483163000
CP;40;23;224;461000;27483163000
CP;41;23;225;469000;27483163000
CP;42;23;217;457000;27483163000
CP;43;23;219;459000;27483163000
CP;44;23;218;450000;27483163000
CP;45;23;234;470000;27483163000
CP;46;23;225;463000;27483163000
CP;47;23;220;448000;27483163000
CP;48;23;221;455000;27483163000
CP;49;23;226;520000;27483163000
CP;50;23;226;481000;27483163000
CP;51;23;225;487000;27483163000
CP;52;23;235;483000;27483163000
CP;53;23;219;467000;27483163000
CP;54;23;222;453000;27483163000
CP;55;23;171;358000;27483163000
CP;56;23;220;460000;27483163000
CP;57;23;219;464000;27483163000
CP;58;23;219;448000;27483163000
CP;59;23;217;454000;27483163000
CP;60;23;219;446000;27483163000
CP;61;23;212;450000;27483163000
CP;62;23;121;247000;27483163000
CP;63;23;222;465000;27483163000
CP;64;23;221;463000;27483163000
CP;65;23;227;471000;27483163000
CP;66;23;224;456000;27483163000
CP;67;23;217;453000;27483163000
CP;68;23;225;454000;27483163000
CP;69;23;218;454000;27483163000
CP;70;23;226;468000;27483163000
CP;71;23;221;460000;27483163000
CP;72;23;130;258000;27483163000
CP;73;23;221;462000;27483163000
CP;74;23;217;455000;27483163000
CP;75;23;224;461000;27483163000
CP;76;23;220;453000;27483163000
CP;77;23;216;462000;27483163000
CP;78;23;231;459000;27483163000
CP;79;23;222;450000;27483163000
CP;80;23;206;421000;27483163000
CP;81;23;218;456000;27483163000
CP;82;23;218;439000;27483163000
CP;83;23;222;461000;27483163000
CP;84;23;228;519000;27483163000
CP;85;23;227;456000;27483163000
CP;86;23;231;467000;27483163000
